Prefix,Module or package,Registrant,Homepage,Source repository,Issue tracker,First registered,Last update,Notes
xetex,l3kernel,The LaTeX3 Project,https://www.latex-project.org/latex3.html,https://github.com/latex3/latex3.git,https://github.com/latex3/latex3/issues,27/09/2012,27/09/2012,
xfrac,xfrac,The LaTeX3 Project,https://www.latex-project.org/latex3.html,https://github.com/latex3/latex3.git,https://github.com/latex3/latex3/issues,27/09/2012,27/09/2012,
xparse,xparse,The LaTeX3 Project,https://www.latex-project.org/latex3.html,https://github.com/latex3/latex3.git,https://github.com/latex3/latex3/issues,27/09/2012,27/09/2012,
xpatch,"regexpatch,xpatch",Enrico Gregorio,,,,16/03/2013,16/03/2013,
xpeek,xpeek,Joel C. Salomon,,,,16/03/2013,16/03/2013,
xpinyin,xpinyin,Qing Lee,https://github.com/CTeX-org/ctex-kit,https://github.com/CTeX-org/ctex-kit.git,https://github.com/CTeX-org/ctex-kit/issues,16/03/2013,26/05/2013,
xsb,xsavebox,Alexander Grahn,,,,26/02/2016,26/02/2016,
xtemplate,xtemplate,The LaTeX3 Project,https://www.latex-project.org/latex3.html,https://github.com/latex3/latex3.git,https://github.com/latex3/latex3/issues,27/09/2012,27/09/2012,
yoin,yoin,Tom Hejda,https://github.com/tohecz/yoin,https://github.com/tohecz/yoin.git,https://github.com/tohecz/yoin/issues,22/02/2016,22/02/2016,
zero,l3kernel,The LaTeX3 Project,https://www.latex-project.org/latex3.html,https://github.com/latex3/latex3.git,https://github.com/latex3/latex3/issues,12/05/2018,12/05/2018,
zhlipsum,zhlipsum,Xiangdong Zeng,https://github.com/Stone-Zeng/zhlipsum,https://github.com/Stone-Zeng/zhlipsum.git,https://github.com/Stone-Zeng/zhlipsum/issues,14/06/2018,14/06/2018,
zhnum,zhnumber,Qing Lee,https://github.com/CTeX-org/ctex-kit,https://github.com/CTeX-org/ctex-kit.git,https://github.com/CTeX-org/ctex-kit/issues,16/03/2013,26/05/2013,
zxjt,zxjatype,Takayuki Yato,,,,16/03/2013,16/03/2013,
